"areaid","name","COUNTRYID","STATEID","is_deleted","createdbystaffid","createdate","lastmodifiedbystaffid","lastmodifieddate","createbyname","updatebyname","CITYID","status","pincodeid"
1,Advalpal,1,1,0,1,"2021-09-09 11:11:39",1,"2021-09-09 11:11:39",admin admin,admin admin,1,Active,1
2,Advoi,1,1,0,1,"2021-09-10 11:11:39",1,"2021-09-10 11:11:39",admin admin,admin admin,1,Active,2
3,Agarwada,1,1,0,1,"2021-09-11 11:11:39",1,"2021-09-11 11:11:39",admin admin,admin admin,1,Active,3
4,Aldona,1,1,0,1,"2021-09-12 11:11:39",1,"2021-09-12 11:11:39",admin admin,admin admin,1,Active,4
5,Alto Betim,1,1,0,1,"2021-09-13 11:11:39",1,"2021-09-13 11:11:39",admin admin,admin admin,1,Active,5
6,Alto-porvorim,1,1,0,1,"2021-09-14 11:11:39",1,"2021-09-14 11:11:39",admin admin,admin admin,1,Active,5
7,Anjuna,1,1,0,1,"2021-09-15 11:11:39",1,"2021-09-15 11:11:39",admin admin,admin admin,1,Active,6
8,Arambol,1,1,0,1,"2021-09-16 11:11:39",1,"2021-09-16 11:11:39",admin admin,admin admin,1,Active,7
9,Arpora,1,1,0,1,"2021-09-17 11:11:39",1,"2021-09-17 11:11:39",admin admin,admin admin,1,Active,8
10,Assagao,1,1,0,1,"2021-09-18 11:11:39",1,"2021-09-18 11:11:39",admin admin,admin admin,1,Active,9
11,Assonora,1,1,0,1,"2021-09-19 11:11:39",1,"2021-09-19 11:11:39",admin admin,admin admin,1,Active,1
12,Baga,1,1,0,1,"2021-09-20 11:11:39",1,"2021-09-20 11:11:39",admin admin,admin admin,1,Active,8
13,Bambolim Camp,1,1,0,1,"2021-09-21 11:11:39",1,"2021-09-21 11:11:39",admin admin,admin admin,1,Active,10
14,Bambolim Complex,1,1,0,1,"2021-09-22 11:11:39",1,"2021-09-22 11:11:39",admin admin,admin admin,1,Active,11
15,Bastora,1,1,0,1,"2021-09-23 11:11:39",1,"2021-09-23 11:11:39",admin admin,admin admin,1,Active,9
16,Batim,1,1,0,1,"2021-09-24 11:11:39",1,"2021-09-24 11:11:39",admin admin,admin admin,1,Active,12
17,Betim,1,1,0,1,"2021-09-25 11:11:39",1,"2021-09-25 11:11:39",admin admin,admin admin,1,Active,13
18,Betki,1,1,0,1,"2021-09-26 11:11:39",1,"2021-09-26 11:11:39",admin admin,admin admin,1,Active,14
19,Bicholim,1,1,0,1,"2021-09-27 11:11:39",1,"2021-09-27 11:11:39",admin admin,admin admin,1,Active,15
20,Bicholim Industrial estate,1,1,0,1,"2021-09-28 11:11:39",1,"2021-09-28 11:11:39",admin admin,admin admin,1,Active,16
21,Birondam,1,1,0,1,"2021-09-29 11:11:39",1,"2021-09-29 11:11:39",admin admin,admin admin,1,Active,17
22,C.C.altinho,1,1,0,1,"2021-09-30 11:11:39",1,"2021-09-30 11:11:39",admin admin,admin admin,1,Active,18
23,Caisua,1,1,0,1,"2021-10-01 11:11:39",1,"2021-10-01 11:11:39",admin admin,admin admin,1,Active,6
24,Calangute,1,1,0,1,"2021-10-02 11:11:39",1,"2021-10-02 11:11:39",admin admin,admin admin,1,Active,8
25,Calvim,1,1,0,1,"2021-10-03 11:11:39",1,"2021-10-03 11:11:39",admin admin,admin admin,1,Active,19
26,Camurlim,1,1,0,1,"2021-10-04 11:11:39",1,"2021-10-04 11:11:39",admin admin,admin admin,1,Active,9
27,Canca,1,1,0,1,"2021-10-05 11:11:39",1,"2021-10-05 11:11:39",admin admin,admin admin,1,Active,20
28,Candepar,1,1,0,1,"2021-10-06 11:11:39",1,"2021-10-06 11:11:39",admin admin,admin admin,1,Active,21
29,Candolim,1,1,0,1,"2021-10-07 11:11:39",1,"2021-10-07 11:11:39",admin admin,admin admin,1,Active,22
30,Cansarvornem,1,1,0,1,"2021-10-08 11:11:39",1,"2021-10-08 11:11:39",admin admin,admin admin,1,Active,3
31,Carambolim,1,1,0,1,"2021-10-09 11:11:39",1,"2021-10-09 11:11:39",admin admin,admin admin,1,Active,23
32,Caranzalem,1,1,0,1,"2021-10-10 11:11:39",1,"2021-10-10 11:11:39",admin admin,admin admin,1,Active,24
33,Carapur,1,1,0,1,"2021-10-11 11:11:39",1,"2021-10-11 11:11:39",admin admin,admin admin,1,Active,25
34,Carona,1,1,0,1,"2021-10-12 11:11:39",1,"2021-10-12 11:11:39",admin admin,admin admin,1,Active,19
35,Chimbel,1,1,0,1,"2021-10-13 11:11:39",1,"2021-10-13 11:11:39",admin admin,admin admin,1,Active,26
36,Chorao,1,1,0,1,"2021-10-14 11:11:39",1,"2021-10-14 11:11:39",admin admin,admin admin,1,Active,27
37,Colvale,1,1,0,1,"2021-10-15 11:11:39",1,"2021-10-15 11:11:39",admin admin,admin admin,1,Active,28
38,Corgao,1,1,0,1,"2021-10-16 11:11:39",1,"2021-10-16 11:11:39",admin admin,admin admin,1,Active,3
39,Corjuem,1,1,0,1,"2021-10-17 11:11:39",1,"2021-10-17 11:11:39",admin admin,admin admin,1,Active,4
40,Corlim Ie,1,1,0,1,"2021-10-18 11:11:39",1,"2021-10-18 11:11:39",admin admin,admin admin,1,Active,23
41,Cotorem,1,1,0,1,"2021-10-19 11:11:39",1,"2021-10-19 11:11:39",admin admin,admin admin,1,Active,17
42,Cudne,1,1,0,1,"2021-10-20 11:11:39",1,"2021-10-20 11:11:39",admin admin,admin admin,1,Active,25
43,Cumbharjua,1,1,0,1,"2021-10-21 11:11:39",1,"2021-10-21 11:11:39",admin admin,admin admin,1,Active,14
44,Curca,1,1,0,1,"2021-10-22 11:11:39",1,"2021-10-22 11:11:39",admin admin,admin admin,1,Active,12
45,Darbandora,1,1,0,1,"2021-10-23 11:11:39",1,"2021-10-23 11:11:39",admin admin,admin admin,1,Active,21
46,Dhargalim,1,1,0,1,"2021-10-24 11:11:39",1,"2021-10-24 11:11:39",admin admin,admin admin,1,Active,28
47,Dodamarg,1,1,0,1,"2021-10-25 11:11:39",1,"2021-10-25 11:11:39",admin admin,admin admin,1,Active,1
48,Fontainhas,1,1,0,1,"2021-10-26 11:11:39",1,"2021-10-26 11:11:39",admin admin,admin admin,1,Active,18
49,Goa-Velha,1,1,0,1,"2021-10-27 11:11:39",1,"2021-10-27 11:11:39",admin admin,admin admin,1,Active,12
50,Goa University,1,1,0,1,"2021-10-28 11:11:39",1,"2021-10-28 11:11:39",admin admin,admin admin,1,Active,29
51,Guleli,1,1,0,1,"2021-10-29 11:11:39",1,"2021-10-29 11:11:39",admin admin,admin admin,1,Active,17
52,Guirim,1,1,0,1,"2021-10-30 11:11:39",1,"2021-10-30 11:11:39",admin admin,admin admin,1,Active,9
53,Ibrampur,1,1,0,1,"2021-10-31 11:11:39",1,"2021-10-31 11:11:39",admin admin,admin admin,1,Active,1
54,Kerim,1,1,0,1,"2021-11-01 11:11:39",1,"2021-11-01 11:11:39",admin admin,admin admin,1,Active,25
55,Malar,1,1,0,1,"2021-11-02 11:11:39",1,"2021-11-02 11:11:39",admin admin,admin admin,1,Active,30
56,Mandrem,1,1,0,1,"2021-11-03 11:11:39",1,"2021-11-03 11:11:39",admin admin,admin admin,1,Active,31
57,Mandur,1,1,0,1,"2021-11-04 11:11:39",1,"2021-11-04 11:11:39",admin admin,admin admin,1,Active,32
58,Mapusa,1,1,0,1,"2021-11-05 11:11:39",1,"2021-11-05 11:11:39",admin admin,admin admin,1,Active,9
59,Mapusa I.E.,1,1,0,1,"2021-11-06 11:11:39",1,"2021-11-06 11:11:39",admin admin,admin admin,1,Active,9
60,Marcaim,1,1,0,1,"2021-11-07 11:11:39",1,"2021-11-07 11:11:39",admin admin,admin admin,1,Active,33
61,Maulinge,1,1,0,1,"2021-11-08 11:11:39",1,"2021-11-08 11:11:39",admin admin,admin admin,1,Active,15
62,Mauxi,1,1,0,1,"2021-11-09 11:11:39",1,"2021-11-09 11:11:39",admin admin,admin admin,1,Active,17
63,Mayem,1,1,0,1,"2021-11-10 11:11:39",1,"2021-11-10 11:11:39",admin admin,admin admin,1,Active,15
64,Menkurem,1,1,0,1,"2021-11-11 11:11:39",1,"2021-11-11 11:11:39",admin admin,admin admin,1,Active,28
65,Moira,1,1,0,1,"2021-11-12 11:11:39",1,"2021-11-12 11:11:39",admin admin,admin admin,1,Active,9
66,Morjim,1,1,0,1,"2021-11-13 11:11:39",1,"2021-11-13 11:11:39",admin admin,admin admin,1,Active,3
67,Morlem,1,1,0,1,"2021-11-14 11:11:39",1,"2021-11-14 11:11:39",admin admin,admin admin,1,Active,25
68,Mulgao,1,1,0,1,"2021-11-15 11:11:39",1,"2021-11-15 11:11:39",admin admin,admin admin,1,Active,1
69,N B verem,1,1,0,1,"2021-11-16 11:11:39",1,"2021-11-16 11:11:39",admin admin,admin admin,1,Active,34
70,Nachinola,1,1,0,1,"2021-11-17 11:11:39",1,"2021-11-17 11:11:39",admin admin,admin admin,1,Active,4
71,Nagargaon,1,1,0,1,"2021-11-18 11:11:39",1,"2021-11-18 11:11:39",admin admin,admin admin,1,Active,17
72,Nagzar,1,1,0,1,"2021-11-19 11:11:39",1,"2021-11-19 11:11:39",admin admin,admin admin,1,Active,3
73,Nanora,1,1,0,1,"2021-11-20 11:11:39",1,"2021-11-20 11:11:39",admin admin,admin admin,1,Active,1
74,Nanorem,1,1,0,1,"2021-11-21 11:11:39",1,"2021-11-21 11:11:39",admin admin,admin admin,1,Active,17
75,Navelim,1,1,0,1,"2021-11-22 11:11:39",1,"2021-11-22 11:11:39",admin admin,admin admin,1,Active,25
76,Nerul,1,1,0,1,"2021-11-23 11:11:39",1,"2021-11-23 11:11:39",admin admin,admin admin,1,Active,35
77,Neura,1,1,0,1,"2021-11-24 11:11:39",1,"2021-11-24 11:11:39",admin admin,admin admin,1,Active,32
78,NIO Dona paula,1,1,0,1,"2021-11-25 11:11:39",1,"2021-11-25 11:11:39",admin admin,admin admin,1,Active,36
79,Honda,1,1,0,1,"2021-11-26 11:11:39",1,"2021-11-26 11:11:39",admin admin,admin admin,1,Active,2
80,Honda I.e.,1,1,0,1,"2021-11-27 11:11:39",1,"2021-11-27 11:11:39",admin admin,admin admin,1,Active,2
