"pincodeid","pincode","COUNTRYID","STATEID","CITYID","is_deleted","createdbystaffid","createdate","lastmodifiedbystaffid","lastmodifieddate","createbyname","updatebyname","status"
1,"403503",1,1,1,0,1,"2021-09-09 11:10:39",1,"2021-09-09 11:10:39",admin admin,admin admin,Active
2,"403530",1,1,1,0,1,"2021-09-10 11:10:39",1,"2021-09-10 11:10:39",admin admin,admin admin,Active
3,"403512",1,1,1,0,1,"2021-09-11 11:10:39",1,"2021-09-11 11:10:39",admin admin,admin admin,Active
4,"403508",1,1,1,0,1,"2021-09-12 11:10:39",1,"2021-09-12 11:10:39",admin admin,admin admin,Active
5,"403521",1,1,1,0,1,"2021-09-13 11:10:39",1,"2021-09-13 11:10:39",admin admin,admin admin,Active
6,"403509",1,1,1,0,1,"2021-09-14 11:10:39",1,"2021-09-14 11:10:39",admin admin,admin admin,Active
7,"403524",1,1,1,0,1,"2021-09-15 11:10:39",1,"2021-09-15 11:10:39",admin admin,admin admin,Active
8,"403516",1,1,1,0,1,"2021-09-16 11:10:39",1,"2021-09-16 11:10:39",admin admin,admin admin,Active
9,"403507",1,1,1,0,1,"2021-09-17 11:10:39",1,"2021-09-17 11:10:39",admin admin,admin admin,Active
10,"403201",1,1,1,0,1,"2021-09-18 11:10:39",1,"2021-09-18 11:10:39",admin admin,admin admin,Active
11,"403202",1,1,1,0,1,"2021-09-19 11:10:39",1,"2021-09-19 11:10:39",admin admin,admin admin,Active
12,"403108",1,1,1,0,1,"2021-09-20 11:10:39",1,"2021-09-20 11:10:39",admin admin,admin admin,Active
13,"403101",1,1,1,0,1,"2021-09-21 11:10:39",1,"2021-09-21 11:10:39",admin admin,admin admin,Active
14,"403107",1,1,1,0,1,"2021-09-22 11:10:39",1,"2021-09-22 11:10:39",admin admin,admin admin,Active
15,"403504",1,1,1,0,1,"2021-09-23 11:10:39",1,"2021-09-23 11:10:39",admin admin,admin admin,Active
16,"403529",1,1,1,0,1,"2021-09-24 11:10:39",1,"2021-09-24 11:10:39",admin admin,admin admin,Active
17,"403506",1,1,1,0,1,"2021-09-25 11:10:39",1,"2021-09-25 11:10:39",admin admin,admin admin,Active
18,"403001",1,1,1,0,1,"2021-09-26 11:10:39",1,"2021-09-26 11:10:39",admin admin,admin admin,Active
19,"403523",1,1,1,0,1,"2021-09-27 11:10:39",1,"2021-09-27 11:10:39",admin admin,admin admin,Active
20,"403510",1,1,1,0,1,"2021-09-28 11:10:39",1,"2021-09-28 11:10:39",admin admin,admin admin,Active
21,"403406",1,1,1,0,1,"2021-09-29 11:10:39",1,"2021-09-29 11:10:39",admin admin,admin admin,Active
22,"403515",1,1,1,0,1,"2021-09-30 11:10:39",1,"2021-09-30 11:10:39",admin admin,admin admin,Active
23,"403110",1,1,1,0,1,"2021-10-01 11:10:39",1,"2021-10-01 11:10:39",admin admin,admin admin,Active
24,"403002",1,1,1,0,1,"2021-10-02 11:10:39",1,"2021-10-02 11:10:39",admin admin,admin admin,Active
25,"403505",1,1,1,0,1,"2021-10-03 11:10:39",1,"2021-10-03 11:10:39",admin admin,admin admin,Active
26,"403006",1,1,1,0,1,"2021-10-04 11:10:39",1,"2021-10-04 11:10:39",admin admin,admin admin,Active
27,"403102",1,1,1,0,1,"2021-10-05 11:10:39",1,"2021-10-05 11:10:39",admin admin,admin admin,Active
28,"403513",1,1,1,0,1,"2021-10-06 11:10:39",1,"2021-10-06 11:10:39",admin admin,admin admin,Active
29,"403206",1,1,1,0,1,"2021-10-07 11:10:39",1,"2021-10-07 11:10:39",admin admin,admin admin,Active
30,"403403",1,1,1,0,1,"2021-10-08 11:10:39",1,"2021-10-08 11:10:39",admin admin,admin admin,Active
31,"403527",1,1,1,0,1,"2021-10-09 11:10:39",1,"2021-10-09 11:10:39",admin admin,admin admin,Active
32,"403104",1,1,1,0,1,"2021-10-10 11:10:39",1,"2021-10-10 11:10:39",admin admin,admin admin,Active
33,"403404",1,1,1,0,1,"2021-10-11 11:10:39",1,"2021-10-11 11:10:39",admin admin,admin admin,Active
34,"403109",1,1,1,0,1,"2021-10-12 11:10:39",1,"2021-10-12 11:10:39",admin admin,admin admin,Active
35,"403114",1,1,1,0,1,"2021-10-13 11:10:39",1,"2021-10-13 11:10:39",admin admin,admin admin,Active
36,"403004",1,1,1,0,1,"2021-10-14 11:10:39",1,"2021-10-14 11:10:39",admin admin,admin admin,Active
37,"403517",1,1,1,0,1,"2021-10-15 11:10:39",1,"2021-10-15 11:10:39",admin admin,admin admin,Active
38,"403105",1,1,1,0,1,"2021-10-16 11:10:39",1,"2021-10-16 11:10:39",admin admin,admin admin,Active
39,"403203",1,1,1,0,1,"2021-10-17 11:10:39",1,"2021-10-17 11:10:39",admin admin,admin admin,Active
40,"403401",1,1,1,0,1,"2021-10-18 11:10:39",1,"2021-10-18 11:10:39",admin admin,admin admin,Active
41,"403501",1,1,1,0,1,"2021-10-19 11:10:39",1,"2021-10-19 11:10:39",admin admin,admin admin,Active
42,"403511",1,1,1,0,1,"2021-10-20 11:10:39",1,"2021-10-20 11:10:39",admin admin,admin admin,Active
43,"403005",1,1,1,0,1,"2021-10-21 11:10:39",1,"2021-10-21 11:10:39",admin admin,admin admin,Active
44,"403103",1,1,1,0,1,"2021-10-22 11:10:39",1,"2021-10-22 11:10:39",admin admin,admin admin,Active
45,"403502",1,1,1,0,1,"2021-10-23 11:10:39",1,"2021-10-23 11:10:39",admin admin,admin admin,Active
46,"403204",1,1,1,0,1,"2021-10-24 11:10:39",1,"2021-10-24 11:10:39",admin admin,admin admin,Active
47,"403526",1,1,1,0,1,"2021-10-25 11:10:39",1,"2021-10-25 11:10:39",admin admin,admin admin,Active
48,"403407",1,1,1,0,1,"2021-10-26 11:10:39",1,"2021-10-26 11:10:39",admin admin,admin admin,Active
49,"403402",1,1,1,0,1,"2021-10-27 11:10:39",1,"2021-10-27 11:10:39",admin admin,admin admin,Active
